x,effect
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.8086252653275562,7.116856832465961
-0.7349119536885323,6.8465879716470175
-0.7349119536885323,6.8465879716470175
-0.6611986420495085,6.577012760532341
-0.6611986420495085,6.577012760532341
-0.5874853304104848,6.308219662090505
-0.5874853304104848,6.308219662090505
-0.513772018771461,6.040297139290083
-0.4514842704365341,5.81465981437465
-0.44005870713243717,5.77336666398857
-0.36634539549341333,5.5080673864485155
-0.36634539549341333,5.5080673864485155
-0.29263208385438955,5.245449483617397
-0.21891877221536576,4.986574454491595
-0.14520546057634195,4.732501255772757
-0.07149214893731816,4.483545740828809
0.002221162701705647,4.238252160237011
0.07593447434072945,3.9949063921027768
0.14964778597975326,3.7517943145315282
0.22336109761877704,3.5072955751347483
0.2970744092578008,3.2605671224999995
0.44450103253584844,2.758588962379743
0.5182143441748722,2.5024785310695936
0.5919276558138961,2.2450953415041646
0.7393542790919436,1.7517089848591945
0.8867809023699913,1.3292249593768146
1.1079208372870626,0.8613350777679561
1.3290607722041339,0.5429239967244682
1.5502007071212054,0.28101050282754086
1.8450539536773005,-0.03494600053514787
2.2873338235114433,-0.6401588621044283
