x,effect
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
0.0,-10.899629956113145
1.0,-6.2072190296777086
1.0,-6.2072190296777086
2.0,-1.8156359561185034
2.0,-1.8156359561185034
2.0,-1.8156359561185034
2.1,-1.4232508104735118
2.5,0.012019589558921764
3.0,1.7369725487140317
3.0,1.7369725487140317
3.1,2.1307506460418177
3.1,2.1307506460418177
3.3,2.985534299783161
4.0,6.381659479335209
4.0,6.381659479335209
4.0,6.381659479335209
4.0,6.381659479335209
4.0,6.381659479335209
4.0,6.381659479335209
4.0,6.381659479335209
4.1,6.849704889207304
4.1,6.849704889207304
4.1,6.849704889207304
4.2,7.310332104282655
