x,effect
-0.7385489458759964,-0.6133108570195244
-0.6900655593423541,-0.590144529447387
-0.6686245759238975,-0.5807718812824949
-0.6674238124719145,-0.5802650845902079
-0.6257862187747439,-0.5640560992906589
-0.6257862187747439,-0.5640560992906589
-0.6236095644623235,-0.5632901739971542
-0.6154574548966636,-0.5605022357067477
-0.605105097566944,-0.5571532337213633
-0.5982930264130992,-0.5550722696842995
-0.5773502691896258,-0.549329206379418
-0.5602775395225761,-0.5454365394329702
-0.560277539522576,-0.5454365394329701
-0.5572385363723519,-0.5448229687865065
-0.5526794237662059,-0.5439491669169721
-0.545544725589981,-0.5426966088261
-0.5298572101062741,-0.5404551395042418
-0.5147915616702293,-0.5390010350048091
-0.5063696835418333,-0.5385019115868308
-0.49543369430686224,-0.5382041457426017
-0.4873397172404482,-0.5382471427632443
-0.4696978962525548,-0.539150557966175
-0.46056618647183833,-0.5400712621019061
-0.45444662957319293,-0.5408673718402615
-0.4321560982800456,-0.5450300877871622
-0.40944726012458477,-0.5514133508990493
-0.3882237799894312,-0.5594575322709624
-0.3810249640493438,-0.5626630898423709
-0.3628518182485374,-0.5718734486231725
-0.3166237934306518,-0.6027354790152544
-0.22941573387056177,-0.6839867985758905
0.5982930264130992,-0.833977682668968
0.8129201441957019,-0.6453988253315053
0.9671889915908604,-0.49068766409039194
1.0951258828558017,-0.36460899579224243
1.1742179860604582,-0.30271010552635214
1.2924606552829936,-0.2518425824998971
1.4301938838683883,-0.24997859565675734
1.5954480704349314,-0.28474015206706127
1.8015145143613318,-0.3132386335317952
2.0725478391232723,-0.22811875520152392
