mean_p,obs,n
6.386433840707058e-10,0.0,911
8.370211726390094e-10,0.0,907
9.945858970569116e-10,0.0,903
1.2604831711871432e-09,0.0,906
2.456423224050838e-09,0.0,903
7.171771539706388e-07,0.0,906
6.704584318716757e-05,0.0,906
0.0024249030091376108,0.004415011037527594,906
0.04770253167463223,0.03421633554083885,906
0.4155884605748721,0.4271523178807947,906
