Game_ID,Player,Team,POTM,Team_Won,Team_Home,Team_Batted_First,Team_Total_Runs,Team_Total_Extras,Batter,Bowler,All_Rounder,Runs_Scored,Balls_Faced,Dot_Balls,Fours_Hit,Sixes_Hit,Batted_Inns1,Batted_Inns2,NonStriker_Runs,Overs_Bowled,Legal_Deliveries,Runs_Conceded,Wickets_Total,Wkts_Bowled,Bowled_Catch,LegByes_Thrown,NoBalls_Thrown,Catches_Fielder,RunOuts,Stumpings,Total_Returns,Run_Share,Wicket_Impact,Strike_Rate,Economy_Rate
BBL_S1_M01,Dwayne Bravo,Sixers,0,1,1,0,140,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,13.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,9.230769230769232
BBL_S1_M01,Ed Cowan,Sixers,0,1,1,0,140,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
BBL_S1_M01,Josh Hazlewood,Sixers,0,1,1,0,140,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,24.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,6.0
BBL_S1_M01,Mitchell Starc,Sixers,0,1,1,0,140,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,25.0,28.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,6.72
BBL_S1_M01,Stuart MacGill,Sixers,0,1,1,0,140,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,26.0,21.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.846153846153847
BBL_S1_M02,Rob Quiney,Stars,0,0,1,1,153,9,1,0,0,7.0,9.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.57516339869281,0.0,77.77777777777779,0.0
BBL_S1_M02,Matthew Wade,Stars,0,0,1,1,153,9,1,0,0,14.0,15.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,9.15032679738562,0.0,93.33333333333333,0.0
BBL_S1_M02,George Bailey,Stars,0,0,1,1,153,9,1,0,0,23.0,27.0,13.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.032679738562091,0.0,85.18518518518519,0.0
BBL_S1_M02,David Hussey,Stars,0,0,1,1,153,9,0,0,1,52.0,27.0,6.0,4.0,3.0,1.0,0.0,14.0,2.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,33.98692810457516,0.0,192.59259259259258,11.0
BBL_S1_M02,Cameron White,Stars,0,0,1,1,153,9,1,0,0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.6535947712418301,0.0,33.33333333333333,0.0
BBL_S1_M02,Adam Voges,Stars,0,0,1,1,153,9,1,0,0,10.0,13.0,4.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,6.535947712418301,0.0,76.92307692307693,0.0
BBL_S1_M02,Luke Wright,Stars,0,0,1,1,153,9,0,0,1,27.0,20.0,9.0,3.0,1.0,1.0,0.0,16.0,4.0,24.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.647058823529413,1.0,135.0,8.75
BBL_S1_M02,James Faulkner,Stars,0,0,1,1,153,9,0,0,1,7.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,4.2,26.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.57516339869281,4.0,116.66666666666667,4.615384615384616
BBL_S1_M02,Clint McKay,Stars,0,0,1,1,153,9,0,0,1,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,18.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.9607843137254901,1.0,100.0,7.0
BBL_S1_M02,Jade Dernbach,Stars,0,0,1,1,153,9,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0
BBL_S1_M02,Shane Warne,Stars,0,0,1,1,153,9,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.5
BBL_S1_M02,David Warner,Thunder,1,1,0,0,154,3,1,0,0,102.0,52.0,9.0,6.0,6.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,66.23376623376623,0.0,196.15384615384613,0.0
BBL_S1_M02,Chris Gayle,Thunder,0,1,0,0,154,3,0,0,1,4.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,3.1,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.5974025974025974,0.0,100.0,4.736842105263158
BBL_S1_M02,Usman Khawaja,Thunder,0,1,0,0,154,3,1,0,0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.948051948051948,0.0,42.857142857142854,0.0
BBL_S1_M02,Daniel Smith,Thunder,0,1,0,0,154,3,1,0,0,21.0,24.0,13.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.636363636363635,0.0,87.5,0.0
BBL_S1_M02,Craig Philipson,Thunder,0,1,0,0,154,3,1,0,0,2.0,7.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.2987012987012987,0.0,28.57142857142857,0.0
BBL_S1_M02,Ben Dunk,Thunder,0,1,0,0,154,3,1,0,0,19.0,22.0,8.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.337662337662337,0.0,86.36363636363636,0.0
BBL_S1_M02,Doug Bollinger,Thunder,0,1,0,0,154,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,7.333333333333333
BBL_S1_M02,Fidel Edwards,Thunder,0,1,0,0,154,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,25.0,34.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.16
BBL_S1_M02,Luke Doran,Thunder,0,1,0,0,154,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,5.0
