Game_IDno,Batsman_Hand,Batsman_Name,Batsman_Runs,Batsman_Shot,Batsman_Team,Boundary,Bowler_Hand,Bowler_Name,Bowler_Type,Bowler_Length,Bowler_Line,Bowler_Wckt,Bowler_Team,Bye,Dismissal_Type,Batsman_Dismissed,Field_Position,Fielder_Name,FreeHit,Innings,LegBye,NoBall,NonStriker_Name,OverNum,BallNum,BallNumLgl,PPlay,Wide
37605,Right,Cameron White,0,Forward Defensive,Stars,0,Right,Kane Richardson,Fast Seam,Length Ball,Outside Off,Over,Strikers,0,Not Out,,Point,Alex Ross,0,1,0,0,Luke Wright,0,1,1,1,0
37605,Right,Cameron White,0,Backward Defensive,Stars,0,Right,Kane Richardson,Fast Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Short Extra Cover,Kieron Pollard,0,1,0,0,Luke Wright,0,2,2,1,0
37605,Right,Cameron White,1,Pull,Stars,0,Right,Kane Richardson,Fast Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Deep Mid Wicket,Travis Head,0,1,0,0,Luke Wright,0,3,3,1,0
37605,Right,Luke Wright,4,Cut,Stars,1,Right,Kane Richardson,Fast Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Deep Backward Point,,0,1,0,0,Cameron White,0,4,4,1,0
37605,Right,Luke Wright,0,Pushed,Stars,0,Right,Kane Richardson,Fast Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Point,Alex Ross,0,1,0,0,Cameron White,0,5,5,1,0
37605,Right,Luke Wright,1,Worked,Stars,0,Right,Kane Richardson,Fast Seam,Back of a Length,Off Stump,Over,Strikers,0,Not Out,,Deep Square Leg,Travis Head,0,1,0,0,Cameron White,0,6,6,1,0
37605,Right,Luke Wright,0,Drive,Stars,0,Right,Kieron Pollard,Medium Seam,Half Volley,Off Stump,Over,Strikers,0,Not Out,,Short Extra Cover,Johan Botha,0,1,0,0,Cameron White,1,1,1,1,0
37605,Right,Luke Wright,0,Drive,Stars,0,Right,Kieron Pollard,Medium Seam,Length Ball,Outside Off,Over,Strikers,0,Not Out,,Wicketkeeper,Tim Ludeman,0,1,0,0,Cameron White,1,2,2,1,0
37605,Right,Luke Wright,4,Pull,Stars,1,Right,Kieron Pollard,Medium Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Cameron White,1,3,3,1,0
37605,Right,Luke Wright,2,Worked,Stars,0,Right,Kieron Pollard,Medium Seam,Length Ball,Off Stump,Over,Strikers,0,Not Out,,Deep Backward Square Leg,Travis Head,0,1,0,0,Cameron White,1,4,4,1,0
37605,Right,Luke Wright,0,Pushed,Stars,0,Right,Kieron Pollard,Medium Seam,Length Ball,Off Stump,Over,Strikers,0,Not Out,,Bowler,Kieron Pollard,0,1,0,0,Cameron White,1,5,5,1,0
37605,Right,Luke Wright,1,Worked,Stars,0,Right,Kieron Pollard,Medium Seam,Length Ball,Off Stump,Over,Strikers,0,Not Out,,Long On,Kane Richardson,0,1,0,0,Cameron White,1,6,6,1,0
37605,Right,Luke Wright,4,Drive,Stars,1,Right,Kane Richardson,Fast Seam,Length Ball,Outside Off,Over,Strikers,0,Not Out,,Deep Extra Cover,,0,1,0,0,Cameron White,2,1,1,1,0
37605,Right,Luke Wright,0,Pushed,Stars,0,Right,Kane Richardson,Fast Seam,Back of a Length,Outside Off,Over,Strikers,0,Not Out,,Short Extra Cover,Alex Ross,0,1,0,0,Cameron White,2,2,2,1,0
37605,Right,Luke Wright,0,Worked,Stars,0,Right,Kane Richardson,Fast Seam,Length Ball,Off Stump,Over,Strikers,0,Not Out,,Mid Wicket,Craig Simmons,0,1,0,0,Cameron White,2,3,3,1,0
37605,Right,Luke Wright,4,Pull,Stars,1,Right,Kane Richardson,Fast Seam,Back of a Length,Off Stump,Over,Strikers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Cameron White,2,4,4,1,0
37605,Right,Luke Wright,0,Drive,Stars,0,Right,Kane Richardson,Fast Seam,Length Ball,Outside Off,Over,Strikers,0,Not Out,,Mid Off,Johan Botha,0,1,0,0,Cameron White,2,5,5,1,0
37605,Right,Luke Wright,0,Drive,Stars,0,Right,Kane Richardson,Fast Seam,Half Volley,Outside Off,Over,Strikers,0,Not Out,,Backward Point,Alex Ross,0,1,0,0,Cameron White,2,6,6,1,0
37605,Right,Cameron White,0,Forward Defensive,Stars,0,Left,Craig Simmons,Orthodox,Length Ball,Outside Off,Around,Strikers,0,Not Out,,Cover,Ben Laughlin,0,1,0,0,Luke Wright,3,1,1,1,0
