Game_IDno,Batsman_Hand,Batsman_Name,Batsman_Runs,Batsman_Shot,Batsman_Team,Boundary,Bowler_Hand,Bowler_Name,Bowler_Type,Bowler_Length,Bowler_Line,Bowler_Wckt,Bowler_Team,Bye,Dismissal_Type,Batsman_Dismissed,Field_Position,Fielder_Name,FreeHit,Innings,LegBye,NoBall,NonStriker_Name,OverNum,BallNum,BallNumLgl,PPlay,Wide
38959,Right,Jacques Kallis,0,Forward Defensive,Thunder,0,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Bowler,Jackson Bird,0,1,0,0,Aiden Blizzard,0,1,1,1,0
38959,Right,Jacques Kallis,4,Drive,Thunder,1,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Long Off,,0,1,0,0,Aiden Blizzard,0,2,2,1,0
38959,Right,Jacques Kallis,0,Drive,Thunder,0,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Cover,,0,1,0,0,Aiden Blizzard,0,3,3,1,0
38959,Right,Jacques Kallis,1,Worked,Thunder,0,Right,Jackson Bird,Fast Seam,Back of a Length,Middle Stump,Over,Sixers,0,Not Out,,Mid On,,0,1,0,0,Aiden Blizzard,0,4,4,1,0
38959,Left,Aiden Blizzard,4,Drive,Thunder,1,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Long On,,0,1,0,0,Jacques Kallis,0,5,5,1,0
38959,Left,Aiden Blizzard,4,Flick,Thunder,1,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Jacques Kallis,0,6,6,1,0
38959,Right,Jacques Kallis,1,Flick,Thunder,0,Left,Doug Bollinger,Fast Seam,Half Volley,Middle Stump,Over,Sixers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Aiden Blizzard,1,1,1,1,0
38959,Left,Aiden Blizzard,0,Worked,Thunder,0,Left,Doug Bollinger,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Short Leg,,0,1,0,0,Jacques Kallis,1,2,2,1,0
38959,Left,Aiden Blizzard,4,Drive,Thunder,1,Left,Doug Bollinger,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Deep Mid Wicket,,0,1,0,0,Jacques Kallis,1,3,3,1,0
38959,Left,Aiden Blizzard,0,Pull,Thunder,0,Left,Doug Bollinger,Fast Seam,Back of a Length,Middle Stump,Over,Sixers,0,Not Out,,Wicketkeeper,Brad Haddin,0,1,0,0,Jacques Kallis,1,4,4,1,0
38959,Left,Aiden Blizzard,0,Drive,Thunder,0,Left,Doug Bollinger,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Mid Off,,0,1,0,0,Jacques Kallis,1,5,5,1,0
38959,Left,Aiden Blizzard,0,Pull,Thunder,0,Left,Doug Bollinger,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,L.B.W.,Striker,-,,0,1,0,0,Jacques Kallis,1,6,6,1,0
38959,Right,Jacques Kallis,1,Pushed,Thunder,0,Right,Jackson Bird,Fast Seam,Length Ball,Middle Stump,Over,Sixers,0,Not Out,,Mid On,,0,1,0,0,Michael Hussey,2,1,1,1,0
