Game_IDno,Batsman_Hand,Batsman_Name,Batsman_Runs,Batsman_Shot,Batsman_Team,Boundary,Bowler_Hand,Bowler_Name,Bowler_Type,Bowler_Length,Bowler_Line,Bowler_Wckt,Bowler_Team,Bye,Dismissal_Type,Batsman_Dismissed,Field_Position,Fielder_Name,FreeHit,Innings,LegBye,NoBall,NonStriker_Name,OverNum,BallNum,BallNumLgl,PPlay,Wide
40488,Right,Elyse Villani,0,No Shot,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Wicketkeeper,Georgia Redmayne,0,1,0,0,Suzie Bates,0,1,1,1,0
40488,Right,Elyse Villani,0,Pushed,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Bowler,Hayley Matthews,0,1,0,0,Suzie Bates,0,2,2,1,0
40488,Right,Elyse Villani,0,Drive,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Bowler,Hayley Matthews,0,1,0,0,Suzie Bates,0,3,3,1,0
40488,Right,Elyse Villani,0,Worked,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Wicket,,0,1,0,0,Suzie Bates,0,4,4,1,0
40488,Right,Elyse Villani,0,Cut,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Point,,0,1,0,0,Suzie Bates,0,5,5,1,0
40488,Right,Elyse Villani,1,Pull,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Wicket,,0,1,0,0,Suzie Bates,0,6,6,1,0
40488,Right,Elyse Villani,1,Glance,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Leg Slip,,0,1,0,0,Suzie Bates,1,1,1,1,0
40488,Right,Suzie Bates,4,Cut,Scorchers,1,Left,Veronica Pyke,Medium Seam,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Deep Cover,,0,1,0,0,Elyse Villani,1,2,2,1,0
40488,Right,Suzie Bates,0,Pushed,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Off,,0,1,0,0,Elyse Villani,1,3,3,1,0
40488,Right,Suzie Bates,0,Drive,Scorchers,0,Left,Veronica Pyke,Medium Seam,Full Toss,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Off,,0,1,0,0,Elyse Villani,1,4,4,1,0
40488,Right,Suzie Bates,0,Flick,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Wicket,,0,1,0,0,Elyse Villani,1,5,5,1,0
40488,Right,Suzie Bates,0,Worked,Scorchers,0,Left,Veronica Pyke,Medium Seam,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Wicket,,0,1,0,0,Elyse Villani,1,6,6,1,0
40488,Right,Elyse Villani,1,Drive,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Long On,,0,1,0,0,Suzie Bates,2,1,1,1,0
40488,Right,Suzie Bates,0,Forward Defensive,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Mid Wicket,,0,1,0,0,Elyse Villani,2,2,2,1,0
40488,Right,Suzie Bates,1,Drive,Scorchers,0,Right,Hayley Matthews,Off Spin,Half Volley,Middle Stump,Over,Hurricanes,0,Not Out,,Long On,,0,1,0,0,Elyse Villani,2,3,3,1,0
40488,Right,Elyse Villani,0,Slog,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Caught,Striker,Point,Sasha Moloney,0,1,0,0,Suzie Bates,2,4,4,1,0
40488,Right,Suzie Bates,2,Cut,Scorchers,0,Right,Hayley Matthews,Off Spin,Back of a Length,Middle Stump,Over,Hurricanes,0,Not Out,,Third Man,,0,1,0,0,Nicole Bolton,2,5,5,1,0
40488,Right,Suzie Bates,0,Worked,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Square Leg,,0,1,0,0,Nicole Bolton,2,6,6,1,0
40488,Left,Nicole Bolton,0,Pushed,Scorchers,0,Left,Veronica Pyke,Medium Seam,Yorker,Middle Stump,Over,Hurricanes,0,Not Out,,Bowler,Veronica Pyke,0,1,0,0,Suzie Bates,3,1,1,1,0
40488,Left,Nicole Bolton,0,Pushed,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Cover,,0,1,0,0,Suzie Bates,3,2,2,1,0
40488,Left,Nicole Bolton,1,Pushed,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Cover,,0,1,0,0,Suzie Bates,3,3,3,1,0
40488,Right,Suzie Bates,0,Cut,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Wicketkeeper,Georgia Redmayne,0,1,0,0,Nicole Bolton,3,4,4,1,0
40488,Right,Suzie Bates,0,Drive,Scorchers,0,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Extra Cover,,0,1,0,0,Nicole Bolton,3,5,5,1,0
40488,Right,Suzie Bates,4,Slog,Scorchers,1,Left,Veronica Pyke,Medium Seam,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Long Off,,0,1,0,0,Nicole Bolton,3,6,6,1,0
40488,Left,Nicole Bolton,1,Flick,Scorchers,0,Right,Hayley Matthews,Off Spin,Length Ball,Middle Stump,Over,Hurricanes,0,Not Out,,Fine Leg,,0,1,0,0,Suzie Bates,4,1,1,1,0
