scenario,model_tag,model_kind,link,feature,coef
raw,M2-Binomialcauchit,M2,,num__Batted_Inns2,269839472.4167631
raw,M2-Binomialcauchit,M2,,num__Batter,269839472.2325133
raw,M2-Binomialcauchit,M2,,num__All_Rounder,269839471.5921607
raw,M2-Binomialcauchit,M2,,num__Batted_Inns1,269839471.40790004
raw,M2-Binomialcauchit,M2,,num__Overs_Bowled,25.29734388999566
raw,M2-Binomialcauchit,M2,,num__Team_Won,16.504477875655073
raw,M2-Binomialcauchit,M2,,num__Legal_Deliveries,-3.861697377258035
raw,M2-Binomialcauchit,M2,,num__NoBalls_Thrown,-3.392498460720452
raw,M2-Binomialcauchit,M2,,num__Wickets_Total,2.3851888839909465
raw,M2-Binomialcauchit,M2,,num__Wkts_Bowled,1.5315019310456757
raw,M2-Binomialcauchit,M2,,num__Stumpings,1.1820845816720296
raw,M2-Binomialcauchit,M2,,num__Catches_Fielder,0.910901946919945
raw,M2-Binomialcauchit,M2,,num__Bowled_Catch,0.8536841147244781
raw,M2-Binomialcauchit,M2,,num__LegByes_Thrown,0.6152314946821726
raw,M2-Binomialcauchit,M2,,num__Runs_Scored,0.4787318330848611
raw,M2-Binomialcauchit,M2,,num__RunOuts,0.4518418032710211
raw,M2-Binomialcauchit,M2,,num__Economy_Rate,0.4514578466884051
raw,M2-Binomialcauchit,M2,,num__Balls_Faced,-0.4406445948383184
raw,M2-Binomialcauchit,M2,,num__Fours_Hit,-0.3848731385920633
raw,M2-Binomialcauchit,M2,,num__Team_Home,-0.3715903911262307
raw,M2-Binomialcauchit,M2,,num__Runs_Conceded,-0.349452277278225
raw,M2-Binomialcauchit,M2,,num__Dot_Balls,0.3455755694279341
raw,M2-Binomialcauchit,M2,,num__Sixes_Hit,-0.2255332566244759
raw,M2-Binomialcauchit,M2,,num__Run_Share,0.1879658899808265
raw,M2-Binomialcauchit,M2,,num__Wicket_Impact,0.1338368374696971
raw,M2-Binomialcauchit,M2,,num__Team_Batted_First,-0.0676478939424086
raw,M2-Binomialcauchit,M2,,num__Team_Total_Extras,0.0369011472378437
raw,M2-Binomialcauchit,M2,,num__Team_Total_Runs,-0.0275059008992589
raw,M2-Binomialcauchit,M2,,num__Strike_Rate,0.0112584197589408
raw,M2-Binomialcauchit,M2,,num__NonStriker_Runs,-0.0013918883182012
raw,M2-Binomialcauchit,M2,,num__Total_Returns,0.0009154442522609
raw,M2-Binomialcloglog,M2,,num__Bowler,19.40227127733963
raw,M2-Binomialcloglog,M2,,num__Batter,10.858086731953446
raw,M2-Binomialcloglog,M2,,num__Batted_Inns2,10.07459502108601
raw,M2-Binomialcloglog,M2,,num__Batted_Inns1,9.916390111483334
raw,M2-Binomialcloglog,M2,,num__All_Rounder,9.13289840061607
raw,M2-Binomialcloglog,M2,,num__Overs_Bowled,4.025358743518524
raw,M2-Binomialcloglog,M2,,num__Team_Won,3.3255036403929044
raw,M2-Binomialcloglog,M2,,num__Wickets_Total,0.6556988473562282
raw,M2-Binomialcloglog,M2,,num__Legal_Deliveries,-0.5115398276818772
raw,M2-Binomialcloglog,M2,,num__Wkts_Bowled,0.3927696708703281
raw,M2-Binomialcloglog,M2,,num__Team_Batted_First,0.2988060046417942
raw,M2-Binomialcloglog,M2,,num__Bowled_Catch,0.2629291764859173
