model_kind,model_tag,link,feature,coef_mean,coef_std,abs_coef_mean,n
M1,M1-EN,,num__Team_Won,1.8357584170420818,0.21453312429639199,1.8357584170420818,3
M1,M1-EN,,num__Runs_Conceded,-1.0153714528317177,0.8659556292355542,1.0153714528317177,3
M1,M1-EN,,num__Runs_Scored,0.9407351064310884,0.9657664960252665,0.9407351064310884,3
M1,M1-EN,,num__Run_Share,0.8951735188613045,0.9968217955980718,0.8951735188613045,3
M1,M1-EN,,num__Overs_Bowled,0.805189333944819,0.7733912776460382,0.805189333944819,3
M1,M1-EN,,num__Wicket_Impact,0.49781592557702653,0.4683766720177026,0.49781592557702653,3
M1,M1-EN,,num__Balls_Faced,-0.45438400780468763,0.3161425661671725,0.45438400780468763,3
M1,M1-EN,,num__All_Rounder,0.39413664066016346,0.6791731484096939,0.39413664066016346,3
M1,M1-EN,,num__Strike_Rate,-0.3100686895406506,0.33643065609763556,0.3100686895406506,3
M1,M1-EN,,num__Batter,0.2942992288490504,0.715529007272116,0.2942992288490504,3
M1,M1-EN,,num__Wickets_Total,0.28511559342377296,0.2782863053979281,0.28511559342377296,3
M1,M1-EN,,num__Bowler,0.2548631688164757,0.5060082621280965,0.2548631688164757,3
M1,M1-EN,,num__Sixes_Hit,0.22013979059161307,0.23004900140109935,0.22013979059161307,3
M1,M1-EN,,num__Dot_Balls,-0.21456533867728864,0.21730246807631276,0.21456533867728864,3
M1,M1-EN,,num__Economy_Rate,0.20491789587811668,0.3540317429057713,0.20491789587811668,3
M1,M1-EN,,num__Wkts_Bowled,0.16720060137680806,0.074816454863496,0.16720060137680806,3
M1,M1-EN,,num__Team_Total_Runs,-0.1579120995461598,0.22993090390474755,0.1579120995461598,3
M1,M1-EN,,num__Legal_Deliveries,0.15286340921432043,0.23915693971021612,0.15286340921432043,3
M1,M1-EN,,num__Fours_Hit,0.15090889411658834,0.17093069759300236,0.15090889411658834,3
M1,M1-EN,,num__Batted_Inns2,-0.1446227210500994,0.15792898876267114,0.1446227210500994,3
M1,M1-EN,,num__NoBalls_Thrown,-0.13974495826214736,0.06676445258892952,0.13974495826214736,3
M1,M1-EN,,num__Team_Total_Extras,0.10396469464106102,0.07697614885355741,0.10396469464106102,3
M1,M1-EN,,num__LegByes_Thrown,0.09571479248107793,0.12021763684475248,0.09571479248107793,3
M1,M1-EN,,num__Catches_Fielder,0.0931005445026561,0.031574874997045255,0.0931005445026561,3
M1,M1-EN,,num__Team_Home,-0.0833223225231312,0.09659714334400563,0.0833223225231312,3
M1,M1-L1,,num__Team_Won,1.8477859479852834,0.223878341927434,1.8477859479852834,3
M1,M1-L1,,num__Runs_Conceded,-1.0225567123687995,0.8855038452637599,1.0225567123687995,3
M1,M1-L1,,num__Runs_Scored,0.9745054757475127,1.2070567711739075,0.9745054757475127,3
M1,M1-L1,,num__Run_Share,0.9585121515371124,1.1010271192482948,0.9585121515371124,3
M1,M1-L1,,num__Overs_Bowled,0.94671017328296,0.8198018985530449,0.94671017328296,3
M1,M1-L1,,num__Balls_Faced,-0.5385172332748684,0.45967482375765456,0.5385172332748684,3
M1,M1-L1,,num__Wicket_Impact,0.5019651927329005,0.4678099261706967,0.5019651927329005,3
M1,M1-L1,,num__Wickets_Total,0.3478684979109305,0.37875666763306376,0.3478684979109305,3
M1,M1-L1,,num__All_Rounder,0.34760846635212433,0.6987568143667039,0.34760846635212433,3
M1,M1-L1,,num__Strike_Rate,-0.30362275569107006,0.3278558953130978,0.30362275569107006,3
M1,M1-L1,,num__Batter,0.2375914797120615,0.6672925758348573,0.2375914797120615,3
M1,M1-L1,,num__Bowler,0.2302230708377885,0.5318221327593237,0.2302230708377885,3
M1,M1-L1,,num__Economy_Rate,0.19728099903768356,0.38568293525138575,0.19728099903768356,3
M1,M1-L1,,num__Sixes_Hit,0.19265010905535992,0.2499445389364441,0.19265010905535992,3
M1,M1-L1,,num__Dot_Balls,-0.1765631737635327,0.23365329563694662,0.1765631737635327,3
M1,M1-L1,,num__Team_Total_Runs,-0.15161046618188573,0.2277815034991411,0.15161046618188573,3
M1,M1-L1,,num__Batted_Inns2,-0.13604020606545747,0.13257324917914423,0.13604020606545747,3
M1,M1-L1,,num__NoBalls_Thrown,-0.1301583743963,0.06618953112634073,0.1301583743963,3
M1,M1-L1,,num__Wkts_Bowled,0.1257372410079244,0.05782745157561667,0.1257372410079244,3
M1,M1-L1,,num__Fours_Hit,0.11779555612209257,0.1947187412636577,0.11779555612209257,3
M1,M1-L1,,num__Team_Total_Extras,0.10521940118899707,0.07823476009455688,0.10521940118899707,3
M1,M1-L1,,num__LegByes_Thrown,0.09418440408150684,0.11684190598239007,0.09418440408150684,3
M1,M1-L1,,num__Catches_Fielder,0.09067444363225347,0.029413233813502804,0.09067444363225347,3
