model_tag,model_kind,link,feature,coef_mean,coef_std,n
M1-EN,M1,,num__All_Rounder,0.39413664066016346,0.6791731484096939,3
M1-EN,M1,,num__Balls_Faced,-0.45438400780468763,0.3161425661671725,3
M1-EN,M1,,num__Batted_Inns1,-0.056135169810207934,0.0636514838909356,3
M1-EN,M1,,num__Batted_Inns2,-0.1446227210500994,0.15792898876267114,3
M1-EN,M1,,num__Batter,0.2942992288490504,0.715529007272116,3
M1-EN,M1,,num__Bowled_Catch,0.03496180197750817,0.1508310697651454,3
M1-EN,M1,,num__Bowler,0.2548631688164757,0.5060082621280965,3
M1-EN,M1,,num__Catches_Fielder,0.0931005445026561,0.031574874997045255,3
M1-EN,M1,,num__Dot_Balls,-0.21456533867728864,0.21730246807631276,3
M1-EN,M1,,num__Economy_Rate,0.20491789587811668,0.3540317429057713,3
M1-EN,M1,,num__Fours_Hit,0.15090889411658834,0.17093069759300236,3
M1-EN,M1,,num__LegByes_Thrown,0.09571479248107793,0.12021763684475248,3
M1-EN,M1,,num__Legal_Deliveries,0.15286340921432043,0.23915693971021612,3
M1-EN,M1,,num__NoBalls_Thrown,-0.13974495826214736,0.06676445258892952,3
M1-EN,M1,,num__NonStriker_Runs,-0.03960388018903376,0.04798823755496178,3
M1-EN,M1,,num__Overs_Bowled,0.805189333944819,0.7733912776460382,3
M1-EN,M1,,num__RunOuts,0.03339707909010523,0.01820334384627204,3
M1-EN,M1,,num__Run_Share,0.8951735188613045,0.9968217955980718,3
M1-EN,M1,,num__Runs_Conceded,-1.0153714528317177,0.8659556292355542,3
M1-EN,M1,,num__Runs_Scored,0.9407351064310884,0.9657664960252665,3
M1-EN,M1,,num__Sixes_Hit,0.22013979059161307,0.23004900140109935,3
M1-EN,M1,,num__Strike_Rate,-0.3100686895406506,0.33643065609763556,3
M1-EN,M1,,num__Stumpings,0.020038742709198934,0.03732254203080563,3
M1-EN,M1,,num__Team_Batted_First,0.012509790521455066,0.14108642438348326,3
M1-EN,M1,,num__Team_Home,-0.0833223225231312,0.09659714334400563,3
M1-EN,M1,,num__Team_Total_Extras,0.10396469464106102,0.07697614885355741,3
M1-EN,M1,,num__Team_Total_Runs,-0.1579120995461598,0.22993090390474755,3
M1-EN,M1,,num__Team_Won,1.8357584170420818,0.21453312429639199,3
M1-EN,M1,,num__Total_Returns,0.042124134835245665,0.040735528270184396,3
M1-EN,M1,,num__Wicket_Impact,0.49781592557702653,0.4683766720177026,3
M1-EN,M1,,num__Wickets_Total,0.28511559342377296,0.2782863053979281,3
M1-EN,M1,,num__Wkts_Bowled,0.16720060137680806,0.074816454863496,3
M1-L1,M1,,num__All_Rounder,0.34760846635212433,0.6987568143667039,3
M1-L1,M1,,num__Balls_Faced,-0.5385172332748684,0.45967482375765456,3
M1-L1,M1,,num__Batted_Inns1,-0.036824611434264666,0.06378209797312824,3
M1-L1,M1,,num__Batted_Inns2,-0.13604020606545747,0.13257324917914423,3
M1-L1,M1,,num__Batter,0.2375914797120615,0.6672925758348573,3
M1-L1,M1,,num__Bowled_Catch,-0.01930758400464173,0.1054185181417166,3
M1-L1,M1,,num__Bowler,0.2302230708377885,0.5318221327593237,3
M1-L1,M1,,num__Catches_Fielder,0.09067444363225347,0.029413233813502804,3
M1-L1,M1,,num__Dot_Balls,-0.1765631737635327,0.23365329563694662,3
M1-L1,M1,,num__Economy_Rate,0.19728099903768356,0.38568293525138575,3
M1-L1,M1,,num__Fours_Hit,0.11779555612209257,0.1947187412636577,3
M1-L1,M1,,num__LegByes_Thrown,0.09418440408150684,0.11684190598239007,3
M1-L1,M1,,num__Legal_Deliveries,0.0108240875521921,0.01874786958597056,3
M1-L1,M1,,num__NoBalls_Thrown,-0.1301583743963,0.06618953112634073,3
M1-L1,M1,,num__NonStriker_Runs,-0.03736839299804864,0.04791215672718792,3
M1-L1,M1,,num__Overs_Bowled,0.94671017328296,0.8198018985530449,3
M1-L1,M1,,num__RunOuts,0.0278358044003834,0.017047662732012584,3
M1-L1,M1,,num__Run_Share,0.9585121515371124,1.1010271192482948,3
M1-L1,M1,,num__Runs_Conceded,-1.0225567123687995,0.8855038452637599,3
M1-L1,M1,,num__Runs_Scored,0.9745054757475127,1.2070567711739075,3
M1-L1,M1,,num__Sixes_Hit,0.19265010905535992,0.2499445389364441,3
M1-L1,M1,,num__Strike_Rate,-0.30362275569107006,0.3278558953130978,3
M1-L1,M1,,num__Stumpings,0.0200113457154807,0.026251712701728023,3
M1-L1,M1,,num__Team_Batted_First,0.005699046692001636,0.12668588872327663,3
M1-L1,M1,,num__Team_Home,-0.08026887087937583,0.0951646813441552,3
M1-L1,M1,,num__Team_Total_Extras,0.10521940118899707,0.07823476009455688,3
M1-L1,M1,,num__Team_Total_Runs,-0.15161046618188573,0.2277815034991411,3
M1-L1,M1,,num__Team_Won,1.8477859479852834,0.223878341927434,3
M1-L1,M1,,num__Total_Returns,0.038771275585184235,0.03827359741285334,3
M1-L1,M1,,num__Wicket_Impact,0.5019651927329005,0.4678099261706967,3
M1-L1,M1,,num__Wickets_Total,0.3478684979109305,0.37875666763306376,3
M1-L1,M1,,num__Wkts_Bowled,0.1257372410079244,0.05782745157561667,3
M1-L2,M1,,num__All_Rounder,0.23140842346717805,0.862331105727045,3
M1-L2,M1,,num__Balls_Faced,-0.41323700430083665,0.25902829860259907,3
M1-L2,M1,,num__Batted_Inns1,0.027909406442317933,0.1321861065119681,3
M1-L2,M1,,num__Batted_Inns2,0.02268781695981244,0.30642908839604605,3
M1-L2,M1,,num__Batter,0.7314004825882291,0.367421939668614,3
M1-L2,M1,,num__Bowled_Catch,0.11751189091484604,0.23410271032240326,3
M1-L2,M1,,num__Bowler,0.32232179030080305,0.4175596982596507,3
M1-L2,M1,,num__Catches_Fielder,0.10630189945418896,0.050950042718337425,3
M1-L2,M1,,num__Dot_Balls,-0.23153010179755798,0.2269575506787592,3
M1-L2,M1,,num__Economy_Rate,0.31716406107781,0.2672943949506961,3
M1-L2,M1,,num__Fours_Hit,0.1471216905726865,0.2030462950208057,3
M1-L2,M1,,num__LegByes_Thrown,0.08074697245847694,0.10201472042734934,3
M1-L2,M1,,num__Legal_Deliveries,0.2493511422180854,0.3019655488290545,3
M1-L2,M1,,num__NoBalls_Thrown,-0.2588906278146798,0.1474474417730386,3
M1-L2,M1,,num__NonStriker_Runs,-0.04040892881662027,0.04779214935742154,3
M1-L2,M1,,num__Overs_Bowled,1.1607695722834308,0.4193961303836419,3
