scenario,raw,raw,raw,raw,raw,raw,raw,raw,scaled,scaled,scaled,scaled,scaled,scaled,scaled,scaled,zscore,zscore,zscore,zscore,zscore,zscore,zscore,zscore
model_tag,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit
feature,,,,,,,,,,,,,,,,,,,,,,,,
num__All_Rounder,0.0837261746769299,0.0745443538103851,-0.4362617365886351,269839471.5921607,9.13289840061607,0.0883804067385359,1.2101442213783975,-0.4362617365886351,-0.0743649264368431,-0.1733836810799943,-0.0745043796063068,3.189948890276329e+30,29.357317368015853,0.1343052793264488,0.6221123599625065,-0.0745043796063068,1.1730486737404036,1.141664726325982,1.204991386596476,5.808960565777619,780023195828867.5,0.7886730449078773,0.8787634065744928,1.204991386596476
num__Balls_Faced,-0.1056282370928412,-0.1058628275188477,-0.1144837723230229,-0.4406445948383184,-0.0887964334624374,-0.0645174664914343,-0.0663587359010916,-0.1144837723230229,-0.7221598665816361,-1.0211310627069723,-0.5750851584492969,-2.2419138919074316e+29,-1.2023092284277064,-0.8689870668647336,-0.9002272935254324,-0.5750851584492969,-0.5353639197395855,-0.4885578095987853,-0.5501420821301901,-1.2774396803975907,-10661282046538.377,-0.6281422342976609,-0.4456157291736337,-0.5501420821301901
num__Batted_Inns1,-0.1252897774147285,-0.110473834302794,0.0867961223702198,269839471.40790004,9.916390111483334,0.38478697181269,1.6009092214972456,0.0867961223702198,0.0,0.0,0.1204186325847045,3.411686282233086e+30,30.650064874594364,0.2905742634082221,0.8393554966013278,0.1204186325847045,-0.0431157320158953,0.0,-0.1234865356279705,-3.740997061686829,-544481951591299.7,-0.1408690248002846,-0.2815133026075625,-0.1234865356279705
num__Batted_Inns2,-0.203168048957408,-0.1946928099031954,0.2281882039046761,269839472.4167631,10.07459502108601,0.5175481515831832,1.7295583477798369,0.2281882039046761,0.0342189869159079,0.0157424980756126,0.1693889803475213,3.2923613322585715e+30,30.222523593810628,0.3483028753157309,0.8866004846420685,0.1693889803475213,-0.2649191011087981,-0.2291703063687896,-0.3295137333727601,-4.480159826318556,-894410241081130.0,-0.2182648210859538,-0.3784846866266768,-0.3295137333727601
num__Batter,-0.4375772104959027,-0.4309595967723132,0.7512460628659532,269839472.2325133,10.858086731953446,0.81395471665733,2.120323347898674,0.7512460628659532,0.328199170010397,0.2401156421274007,0.354457943038757,3.5270453460106325e+30,31.645952923249823,0.4972766368441056,1.0971927537691075,0.354457943038757,0.992275727032657,0.903618393781097,1.0884974418599769,5.243149526428399,1107428920435565.2,0.8981787504346634,1.0734750915544755,1.0884974418599769
num__Bowled_Catch,0.0838325114823064,0.0751226134780836,0.2127554257982329,0.8536841147244781,0.2629291764859173,0.03448774881671,0.0938681281847067,0.2127554257982329,0.1552978253385724,0.0,0.2889804719084108,-1.0244760458154626e+29,0.3027590808452799,0.0651759205751885,0.1266116967254463,0.2889804719084108,-0.1342449308883543,-0.1330453654920088,-0.1492002249621056,-0.4406452077377517,-71799381225216.1,-0.0572259342012337,-0.0675947666330352,-0.1492002249621056
num__Bowler,-0.1567065236265845,-0.147699656379485,-0.0288971320248177,539678947.7047514,19.40227127733963,0.4507203186789663,2.883797804669164,-0.0288971320248177,0.1014793185475683,0.0,0.2118542459895405,5.971136841032577e+30,54.839249468885946,0.3787700219833554,1.360283714222632,0.2118542459895405,0.8198167115284433,0.8383688688928506,0.7840082569376864,2.946458231719806,-22496056891319.406,0.3198860919576288,0.3607596514780057,0.7840082569376864
num__Catches_Fielder,0.1265989675800398,0.1211484291001636,0.1634345514566172,0.910901946919945,0.0378015829307024,0.1087039865813145,0.0943924991976658,0.1634345514566172,0.0888158614177602,0.0884236158689118,0.0898929543130731,2.921470250833297e+28,0.0222485257044225,0.0636784329531997,0.0548389805924276,0.0898929543130731,0.0638868045101683,0.062451285927685,0.0655781925928766,0.5035399874692105,-6644061104131.512,0.0439066717975812,0.041558290193208,0.0655781925928766
num__Dot_Balls,0.0032623517987256,0.0036705983273816,0.0160356342757653,0.3455755694279341,-0.0010700738011848,0.006259243892014,0.0054750725383487,0.0160356342757653,-0.2156196197660223,-0.0928102720066904,-0.2808607398343279,-5.093717083270303e+28,-0.0064953015308448,0.0314581895933142,0.0280260835990685,-0.2808607398343279,-0.4313387480645692,-0.4405498476112893,-0.4297651998341114,-0.4095419532565491,-174643604575843.47,-0.1983865740680631,-0.2204791772453107,-0.4297651998341114
num__Economy_Rate,-0.0519444869216015,-0.0498551375948271,0.2090771997618635,0.4514578466884051,0.2300714852721366,0.1301760836874941,0.1435092551979189,0.2090771997618635,0.6087665199356352,0.6416981347078777,0.6215756534101647,4.088825546592214e+29,0.9645954941117778,0.5496777381976026,0.6025748253355035,0.6215756534101647,0.0579316546203163,0.0,0.1208393300614017,0.905325880096699,399254207778800.9,0.2836069254663836,0.3311293115854175,0.1208393300614017
num__Fours_Hit,0.0147255231193426,0.0108363372920867,-0.0584596322676364,-0.3848731385920633,-0.0757308671731724,-0.0349056781589134,-0.0396857425000894,-0.0584596322676364,0.0952756004173939,0.0,0.152290440025845,-1.11490751561232e+29,-0.1438260355533815,-0.0665571076199264,-0.0754321425394533,0.152290440025845,0.3427255588130285,0.342550331074191,0.3475342639598509,0.6113312866299627,233601083614831.9,0.144974701862742,0.1651919578320528,0.3475342639598509
num__LegByes_Thrown,0.2094079605735498,0.2056677359286387,0.1648088622707985,0.6152314946821726,0.1771910729636091,0.0671330866785212,0.089600994652851,0.1648088622707985,0.1078441307219669,0.1042502683789907,0.1101807194970526,4.090053955915275e+28,0.1131691715634814,0.0429302509011965,0.0571106078253761,0.1101807194970526,-0.0301077138522829,-0.0273647920631089,-0.0327486643924203,-0.1395827957867815,-16756647189558.049,-0.0247910427904831,-0.020295791912778,-0.0327486643924203
num__Legal_Deliveries,0.0301202524456349,0.0324722626565763,-0.0694854656384723,-3.861697377258035,-0.5115398276818772,-0.2544544278131089,-0.3026251390391712,-0.0694854656384723,0.0,0.0,0.2865376753274612,-2.647606672718604e+30,-5.53365184085167,-2.757099626540814,-3.2659712908167755,0.2865376753274612,0.4284699751973264,0.0,0.5310012169652674,-7.377466506133325,429373620910553.25,-0.337798036566987,-0.2499701200332333,0.5310012169652674
num__NoBalls_Thrown,-0.0804762800160028,-0.0693299125218955,-0.4219751096287479,-3.392498460720452,-0.1359601820549894,-0.0802346478239408,-0.1106593523579571,-0.4219751096287479,-0.126683747690718,-0.1204979537414994,-0.1350005778853212,-2.107781683024372e+28,-0.0313371193365664,-0.0183356387083154,-0.0256464667261318,-0.1350005778853212,-0.2120748470797213,-0.2006472569255051,-0.2196961959299704,-0.426146076517277,31857053154321.97,-0.0706894643086898,-0.0903406706626072,-0.2196961959299704
num__NonStriker_Runs,0.0011160002474471,0.0006926187053127,-0.0002218853556366,-0.0013918883182012,0.0071707214791149,-0.002018801597842,-0.000342014236884,-0.0002218853556366,-0.0274170932821012,-0.0216268654990887,-0.0277482035919332,-7.563250914815247e+28,0.0574642904195152,-0.0158103144846787,-0.0027326652972782,-0.0277482035919332,-0.0925105475324472,-0.0911709322003699,-0.093256697502291,0.2078074575005926,-117215230269884.1,-0.041964413301206,-0.0396925609177678,-0.093256697502291
num__Overs_Bowled,0.0623570981773073,0.0523377132624886,1.4777615443018497,25.29734388999566,4.025358743518524,2.1397801093719258,2.4841389060929373,1.4777615443018497,1.6058888902086867,1.6625012802758643,1.3193385345698003,3.40693920633485e+30,7.145405872489508,3.804868121268412,4.4028572883844825,1.3193385345698003,0.7473220134484629,1.1252915263105272,0.6852086379786424,9.409076517618349,214140710434236.4,1.2077741943099043,1.2182005180501605,0.6852086379786424
num__RunOuts,0.0464811719827438,0.0360034504522382,0.1741920863052649,0.4518418032710211,0.0299464823397485,0.2232908074633936,0.1462715339025257,0.1741920863052649,0.0411016677576721,0.0392629443717417,0.0429232727892979,1.7315455936931746e+28,0.0073524609833964,0.0557062296280424,0.036035490125207,0.0429232727892979,0.0126083975298998,0.0082410183771703,0.0176761959283457,-0.2120874209548097,6444050098446.859,0.0420047656017221,0.0247672236917565,0.0176761959283457
