league,role,N,pct
BBL,All-rounder,80,0.32388663967611336
BBL,Batter,116,0.46963562753036436
BBL,Bowler,51,0.20647773279352227
WBBL,All-rounder,71,0.4057142857142857
WBBL,Batter,79,0.4514285714285714
WBBL,Bowler,25,0.14285714285714285
